timestamp,delta,theta,alpha,beta,gamma,focus_score,state,transition
1771739579.090806,110123.29811309725,99751.81172321111,44628.498361941405,43369.874847355175,14890.348925962768,0.8896588969843167,Neutral,False
1771739580.080631,247959.67680118093,76257.65227026795,34166.492254276636,38155.79575439167,8524.179522891798,0.49912232339407836,Neutral,False
1771739581.0834932,318695.0867303611,62274.31500083471,35455.72526562207,32171.559379508577,10217.61240948727,0.5948164622310137,Neutral,False
1771739582.083673,234279.20871596056,44500.470551484425,33272.58898583302,25364.564752450256,6084.583028962452,0.41162753762396087,Neutral,False
1771739583.115985,182633.70200064403,110649.43495193109,34413.24922471958,36088.143249508015,7591.755591480075,0.6510554902766861,Neutral,False
1771739584.091233,319937.25787612685,103135.8384950691,43411.51425616663,26137.54535009706,8589.108752447632,0.30137557866433135,Neutral,False
1771739585.092934,190466.07415565255,46720.9674198851,37708.02307740653,32513.750499695896,3352.712240742946,0.6188239861144662,Scattered,True
1771739586.098311,255878.46537001868,37144.84440885545,65456.941362617705,35849.34078672168,10873.93490802425,1.042454498831329,Scattered,False
1771739587.101557,293791.7992855476,104602.99484106488,26562.39075366998,24434.034467161342,16165.974357500823,0.23353052608219074,Scattered,False
1771739588.105993,133133.99945914274,68074.23172310625,40090.94525229039,30907.92396913169,9040.788759391535,0.6492790727435958,Scattered,False
1771739589.106364,10675.91781075668,1266.0030383336712,3141.8300293915618,42495.56978443582,15273.416607077783,34.904394946044064,Scattered,False
1771739590.10775,3647.8435266448423,1601.5598694923617,2140.623992239851,18918.424327034685,13037.283593909458,17.424726544874304,Scattered,False
1771739591.108172,19059.027905141615,1866.9459783935504,4518.488912234331,15380.60336034307,21747.710961056662,14.27047693288805,Scattered,False
1771739592.112025,2695.4628013259226,954.8490336594524,1014.4217301118733,24766.190260847547,23295.96170537326,27.783425469425644,Scattered,False
1771739593.118239,2554.05822201339,355.6512225709529,904.5530086911829,15431.80273002958,15431.93997898745,47.49583180860631,Scattered,False
1771739594.132203,9354.608648476986,1614.5708121276984,3873.052318438417,16729.58703238006,13577.011846836227,12.566906048553587,Scattered,False
1771739595.124906,3684.626715069118,1075.2455299464502,2565.861593322772,18333.218466492628,11830.765577641556,17.21748642653823,Scattered,False
1771739596.130154,3126.442316409508,966.4185806684682,3395.3000674428276,21151.602556027603,7127.4704520539335,35.48668053765439,Scattered,False
1771739597.1352909,12083.224226844744,1057.0557034718572,777.5661280836387,13041.110546038233,11366.742073170648,13.504300797390158,Scattered,False
1771739598.136214,1534.3226624376703,505.4525668367695,1829.6398055521092,19787.87726179197,10925.270941698771,41.46320144947045,Scattered,False
1771739599.1387231,530.4473762057753,268.0855307145848,1671.7223343269575,22509.36751247582,10713.572433725216,101.6001421785405,Scattered,False
1771739600.157984,1929.2362744256925,409.7596237839271,2154.578445349586,18120.223353080808,7218.910957609465,44.51556467956878,Scattered,False
1771739601.149156,853.6232170250212,373.66563716365283,1270.7385923948787,11752.372724636376,10207.251689567522,31.273866791722234,Scattered,False
1771739602.15732,580.0327354824205,819.2626838516188,1391.1291722788405,10283.839855546057,7133.361688775861,17.57187957956527,Scattered,False
1771739603.155214,125796.31840035591,19998.447039743744,16645.333914311836,8406.156568346363,3771.7939707837063,0.4332387481414328,Scattered,False
1771739604.172503,132900.92618158064,89546.74443018608,86171.24926034115,40113.594218069105,11696.2757487576,0.4162763975936927,Scattered,False
1771739605.197363,64166.05282851833,9093.734150130444,2624.8239716062853,2975.1055183871304,2545.2612158505417,0.4356580072463393,Scattered,False
1771739606.18918,25724.983837477994,17124.12232641989,7647.194952752414,5367.5302442716675,2090.2214602545323,0.9483210176370552,Scattered,False
1771739607.180245,102671.10341917427,111175.05860485014,65939.8386194754,27985.87264103296,7923.601893681183,0.2201077383870378,Scattered,False
1771739608.177598,215635.15590428936,186476.5515994535,69179.24075261854,68939.14563524217,10677.25809030205,0.39708449888048714,Scattered,False
1771739609.354617,176131.1274571707,156711.22904733612,114072.20682281637,57727.868254346526,19570.762561042462,0.6358557716429373,Scattered,False
1771739610.181358,211375.0527165297,140972.2187761874,54922.42160016982,64831.05499495676,15898.053165668098,0.3861407503643737,Scattered,False
1771739611.181036,207752.30931843666,249743.7864013663,62239.76649585936,86924.17847527367,15940.982103435897,0.46805993782333427,Scattered,False
1771739612.181897,218269.7221879161,48261.998427803956,24163.8656506065,38036.30392816026,8741.961363118118,1.195215761092424,Scattered,False
1771739613.184439,295741.0542082093,137316.25337818617,21130.447024581943,40458.968661318424,9409.145264068582,0.4234458539930261,Scattered,False
1771739614.1893198,82777.89858258664,45071.84054920826,10638.552474092246,15411.495978948482,7380.347248397833,0.4174145941303772,Scattered,False
1771739615.1931899,150746.5113089604,81294.99407936342,39859.42435289969,28262.92599178066,6358.06568547826,0.45539186740683046,Scattered,False
1771739616.196995,120653.9302694405,33369.171439728074,12987.817170253902,18759.19943595019,10786.408317832813,1.1337858681493276,Scattered,False
1771739617.2019598,36733.714405113074,33712.332999240665,30606.532424336347,26559.05750047377,13887.38079454526,2.3530532535664097,Scattered,False
1771739618.20786,56445.870639445995,4032.63824095858,1842.0893394165678,3220.9222892251714,4349.562936095875,1.564297650249548,Scattered,False
1771739619.2107441,9266.140998550336,2718.7884068812614,1764.7265664401066,3356.686870035658,6688.556515590439,4.283532867513509,Scattered,False
1771739620.2162292,28461.259758306463,19466.077241530857,9884.39666109647,10900.919435662996,5170.0023676645205,1.0667485575473057,Scattered,False
1771739621.2195451,32606.786064789896,14030.517352464813,6122.848681248354,16629.846361782995,6798.005314077658,1.2259588225243496,Scattered,False
1771739622.2199419,88577.9915513193,32277.744115978327,14008.34617725103,11747.786927174397,6703.835053388259,0.8714341766715332,Scattered,False
1771739623.2216582,70456.97492220267,62768.55344417513,39439.403992447005,34046.81704150856,4328.169695790537,0.5799317180806645,Scattered,False
1771739624.222683,57929.81754382937,7358.445508437346,3403.373527874941,8761.858492307014,2941.251015425173,1.764716758336711,Scattered,False
1771739625.225332,1560.8550230910416,522.8445219616559,1373.9955982110105,9178.270646764988,2817.74191658793,27.330032785235744,Scattered,False
1771739626.228917,14378.315642511014,4766.930118202264,1492.5190069618614,5012.2203555500055,3604.2697275670225,22.350041337256734,Scattered,False
1771739627.2303889,671.2769629864083,273.55451654508295,437.7728934355126,4082.374033971679,3253.280164183464,17.22758930908412,Scattered,False
1771739628.23749,492.51218783813454,249.6668546456464,319.9303170940833,4404.710408236426,2298.539758973794,18.183360512972406,Scattered,False
