timestamp,delta,theta,alpha,beta,gamma,focus_score,state,transition
1771776833.4421492,180184.46979429212,172003.52347781428,21440.75043339671,32807.88060591956,5662.511948801455,0.24351823010458712,Neutral,False
1771776834.4332778,193165.57048855955,70315.59615275457,28219.264869642022,31482.23936951826,9239.575729956021,0.45849814414358786,Neutral,False
1771776835.444736,115501.14793457706,104222.9060020269,26680.309734851628,16621.470326183873,3821.9725699041387,0.16855792248938242,Neutral,False
1771776836.440901,164773.31034942763,37178.0555807292,13732.122560466436,8978.052950432686,1957.2503683313555,0.19711369115197575,Neutral,False
1771776837.477946,5102.768077118062,1829.5253592975012,459.4587731574854,262.88554392222915,56.27431554113167,1.9283569007091483,Neutral,False
1771776838.4474041,10262.314493410622,3248.0499919567665,598.2527045468094,429.62032023299446,124.08815074004205,1.6413860606944042,Neutral,False
1771776839.451722,11796.157842037726,651.287485996031,108.53428841935414,240.0530200184923,99.46011944076878,1.682624436016629,Scattered,True
1771776840.468595,1075.2846513447212,152.41705572610925,91.7306348688715,241.9357082782971,94.34814296760507,1.7381352349976038,Scattered,False
1771776841.461177,7024.225886418159,786.2212689452955,97.66326042897244,242.92969445443154,65.55085047522212,0.30562803437753416,Scattered,False
1771776842.4610822,2935.7391928865122,144.78890637629888,41.799811360021025,132.1474145534436,82.95584492690477,3.2221927371849897,Scattered,False
1771776843.475084,1142.0007416300753,81.58430740210005,75.29977412830493,128.56322568055438,46.42722684881494,1.48533006479086,Scattered,False
1771776844.4737668,1542.0330392736648,20.74221653460993,15.675500901860984,126.82588618934379,61.12370300135653,7.396299774233303,Scattered,False
1771776845.4980428,419.37594433469803,29.95641832229161,9.703648814320278,74.86593117933988,46.76218961493315,6.360468674721742,Scattered,False
1771776846.4770281,896.8704913110553,13.318822136540499,13.124966727703129,56.009078147559364,50.33946983215807,3.990547549978004,Scattered,False
1771776847.474126,909.5684186086073,19.685250419859784,33.68223516232828,154.13986013833372,93.85194491549365,16.084272383200418,Scattered,False
1771776848.499701,695.3369576324287,69.59410876535152,46.58527581110688,93.9900054967211,43.042693828809206,2.548094789292498,Scattered,False
1771776849.471343,724.1759288596902,16.578134492503995,12.78350410926649,76.81309798514837,64.39475057148374,5.357278092037897,Scattered,False
1771776850.490678,191.4434432569501,10.61052924338464,9.259779519455726,106.71133134088332,45.73850117080313,11.12854509790241,Scattered,False
1771776851.493834,638.7079959342764,23.6166837376999,12.883807055747155,75.66256071594361,31.557794095280276,3.154407774009686,Scattered,False
1771776852.4896882,76.70527113767997,11.426577763825492,7.333710184473562,55.3658291866615,37.27189648666769,7.337031820098485,Scattered,False
1771776853.5090759,335.1241645108631,9.204114713431906,14.27691653122013,111.63069594641397,47.68618045159971,14.322624737660428,Scattered,False
1771776854.498313,473.45502907003555,11.30219932312255,17.946542143602564,89.37195349575168,62.21415447493238,22.3607019367672,Scattered,False
1771776855.4992058,143.99899957111947,23.58772614150068,49.40812007177149,89.51572024947805,84.1066336541788,4.476890611246856,Scattered,False
1771776856.499966,771.088815057457,50.97493101651047,15.758284962249157,96.49931004667563,38.88610437708917,3.941293777910156,Scattered,False
1771776857.5061388,332.62631161147027,21.102114980441918,20.709533339144503,96.64010779390296,38.56337390686076,5.110148377147075,Scattered,False
